shopify_product_id,handle,status,sku,title
"gid://shopify/Product/15427570073932","frigorifico-dos-puertas-teka-rtf-2510-blanco-143-m","ACTIVE","113550001","Frigorífico Dos Puertas - TEKA RTF 2510, Blanco, 1.43 m"
"gid://shopify/Product/15427578495308","cargador-red-electrica-motorola-turbopower-33-33w-usb-c","ACTIVE","119MOTO33W","Cargador Red Eléctrica - MOTOROLA Turbopower 33, 33W, USB-C"
"gid://shopify/Product/15427578593612","exprimidor-electrico-braun-cj3050-blanco-60w","ACTIVE","11CJ3050","Exprimidor Eléctrico - BRAUN CJ3050, Blanco, 60W"
"gid://shopify/Product/15427579085132","altavoz-portatil-jbl-go4-purple-ip67-bateria-850-mah","ACTIVE","1200130009471","Altavoz Portátil - JBL GO4 Purple, IP67, Batería 850 mAh"
"gid://shopify/Product/15427579117900","altavoz-portatil-jbl-go-4-rosa-ip67-bateria-850-mah","ACTIVE","1200130011443","Altavoz Portátil - JBL GO 4, Rosa, IP67, Batería 850 mAh"
"gid://shopify/Product/15427579150668","auriculares-inalambricos-jbl-tune-flex-2-black-ip54-bateria-545-mah","ACTIVE","1200130016233","Auriculares Inalámbricos - JBL TUNE FLEX 2 Black, IP54, Batería 545 mAh"
"gid://shopify/Product/15427579248972","auriculares-inalambricos-jbl-tune-flex-2-blanco-bateria-545-mah-ip54","ACTIVE","1200130016240","Auriculares Inalámbricos - JBL TUNE FLEX 2, Blanco, Batería 545 mAh, IP54"
"gid://shopify/Product/15427579543884","auriculares-inalambricos-jbl-tune-beam-2-negro-bateria-590-mah-ip54","ACTIVE","1200130016479","Auriculares Inalámbricos - JBL TUNE Beam 2, Negro, Batería 590 mAh, IP54"
"gid://shopify/Product/15427579609420","auriculares-inalambricos-jbl-tune-beam-2-white","ACTIVE","1200130016486","Auriculares Inalámbricos - JBL TUNE BEAM 2 White"
"gid://shopify/Product/15427580363084","campana-decorativa-cata-beta-9-inox","ACTIVE","1202051303","Campana Decorativa - Cata BETA 900, Inox"
"gid://shopify/Product/15427580559692","campana-decorativa-cata-v-9-inox","ACTIVE","1202063600","Campana Decorativa - Cata V 900, Inox"
"gid://shopify/Product/15427581509964","campana-decorativa-cata-beta-12-inox","ACTIVE","1202157309","Campana Decorativa - Cata BETA 1200, Inox"
"gid://shopify/Product/15427591405900","campana-decorativa-balay-3bc696mx-eficiencia-a-acero-inoxidable-piramidal","ACTIVE","13BC696MX","Campana Decorativa - Balay 3BC696MX, Eficiencia A, Acero Inoxidable, Piramidal"
"gid://shopify/Product/15427591635276","campana-decorativa-balay-3bc998hnc-negro-t-invertida","ACTIVE","13BC998HNC","Campana Decorativa - Balay 3BC998HNC, Negro, T-Invertida"
